[2026-04-24T23:12:24.817Z] GET https://fonts.googleapis.com/css2?family=Material+Symbols+Rounded:opsz,wght,FILL,GRAD@24,400,0,0 → 200 (?ms, 691B)
[2026-04-24T23:12:24.819Z] GET http://localhost:5174/src/main.jsx?t=1777072322187 → 200 (28ms, 1892B)
[2026-04-24T23:12:24.842Z] GET http://localhost:5174/@react-refresh → 200 (25ms, 113132B)
[2026-04-24T23:12:24.847Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (27ms, 3478B)
[2026-04-24T23:12:24.849Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=6c20f766 → 200 (?ms, 12293B)
[2026-04-24T23:12:24.851Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=6c20f766 → 200 (?ms, 1024B)
[2026-04-24T23:12:24.853Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=6c20f766 → 200 (1ms, 902044B)
[2026-04-24T23:12:24.856Z] GET http://localhost:5174/src/index.css → 200 (20ms, 9761B)
[2026-04-24T23:12:24.856Z] GET http://localhost:5174/src/App.jsx?t=1777072322187 → 304 (12ms, ?B)
[2026-04-24T23:12:24.857Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-BQYK6RGN.js?v=6c20f766 → 200 (?ms, 43627B)
[2026-04-24T23:12:24.858Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=6c20f766 → 200 (1ms, 7968B)
[2026-04-24T23:12:24.864Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-D7552MD7.js?v=6c20f766 → 200 (1ms, 16533B)
[2026-04-24T23:12:24.870Z] GET http://localhost:5174/src/components/ChatbotIcon.jsx → 200 (11ms, 5554B)
[2026-04-24T23:12:24.870Z] GET http://localhost:5174/src/components/ChatForm.jsx → 200 (15ms, 6552B)
[2026-04-24T23:12:24.870Z] GET http://localhost:5174/src/components/ChatMessage.jsx → 200 (18ms, 7040B)
